1.46085859429303;1.76910211104895
22806.9507987508;57596.9815537926
233191.099918215;322380.88501762
650761.110604221;772837.103757436
784056.66472782;1015386.08033829
861358.760582653;1002302.8728542
959393.727626997;1117632.79855858
1186342.11118296;1381805.46395396
1921556.62792338;1927903.31276067
2098023.58986299;1978272.87534092
2352325.50608051;2460627.05647472
2581453.64956129;2466746.14757532
2680247.2395177;2688068.41527728
2837051.40449198;2821767.4195944
3302691.10044118;3237594.95716657
3212610.19447101;3310962.41207061
3992775.94864755;4210467.59132169
4335333.3113203;4238099.20468655
5344682.55264545;5513596.67950133
5298892.79520401;5748876.89962381
5895545.10910669;5920335.67439409
6460931.5271488;6206902.60250305
6469894.26146119;6514775.63993563
6526431.64765924;6604160.94196283
7242469.33668967;6844932.18335521
7285837.74136916;7326932.15782576
7470629.29352709;7484949.4439802
8721543.24623489;8572411.52836752
8845830.90073624;8923180.77957341
9739735.64996551;9565743.90843909
10018222.0328758;9721917.83178098
9958563.24135708;9990409.30049714
10049693.5124045;10211250.6414326
9136532.64542309;9079177.65355965
